id,parent_id/id,code,name
__export__.sni_A,,A,"Jordbruk, skogsbruk och fiske"
__export__.sni_B,,B,Utvinning av mineral
__export__.sni_C,,C,Tillverkning
__export__.sni_D,,D,"Försörjning av el, gas, värme och kyla"
__export__.sni_E,,E,"Vattenförsörjning; avloppsrening, avfallshantering och sanering"
__export__.sni_F,,F,Byggverksamhet
__export__.sni_G,,G,Handel; reparation av motorfordon och motorcyklar
__export__.sni_H,,H,Transport och magasinering
__export__.sni_I,,I,Hotell- och restaurangverksamhet
__export__.sni_J,,J,Informations- och kommunikationsverksamhet
__export__.sni_K,,K,Finans- och försäkringsverksamhet
__export__.sni_L,,L,Fastighetsverksamhet
__export__.sni_M,,M,"Verksamhet inom juridik, ekonomi, vetenskap och teknik"
__export__.sni_N,,N,"Uthyrning, fastighetsservice, resetjänster och andra stödtjänster"
__export__.sni_O,,O,Offentlig förvaltning och försvar; obligatorisk socialförsäkring
__export__.sni_P,,P,Utbildning
__export__.sni_Q,,Q,Vård och omsorg; sociala tjänster
__export__.sni_R,,R,"Kultur, nöje och fritid"
__export__.sni_S,,S,Annan serviceverksamhet
__export__.sni_T,,T,Förvärvsarbete i hushåll; hushållens produktion av diverse varor och tjänster för eget bruk
__export__.sni_U,,U,"Verksamhet vid internationella organisationer, utländska ambassader o.d."
__export__.sni_01,__export__.sni_A,01,Jordbruk och jakt samt service i anslutning härtill
__export__.sni_02,__export__.sni_A,02,Skogsbruk
__export__.sni_03,__export__.sni_A,03,Fiske och vattenbruk
__export__.sni_05,__export__.sni_B,05,Kolutvinning
__export__.sni_06,__export__.sni_B,06,Utvinning av råpetroleum och naturgas
__export__.sni_07,__export__.sni_B,07,Utvinning av metallmalmer
__export__.sni_08,__export__.sni_B,08,Annan utvinning av mineral
__export__.sni_09,__export__.sni_B,09,Service till utvinning
__export__.sni_10,__export__.sni_C,10,Livsmedelsframställning
__export__.sni_11,__export__.sni_C,11,Framställning av drycker
__export__.sni_12,__export__.sni_C,12,Tobaksvarutillverkning
__export__.sni_13,__export__.sni_C,13,Textilvarutillverkning
__export__.sni_14,__export__.sni_C,14,Tillverkning av kläder
__export__.sni_15,__export__.sni_C,15,"Tillverkning av läder, läder- och skinnvaror m.m."
__export__.sni_16,__export__.sni_C,16,"Tillverkning av trä och varor av trä, kork, rotting o.d. utom möbler"
__export__.sni_17,__export__.sni_C,17,Pappers- och pappersvarutillverkning
__export__.sni_18,__export__.sni_C,18,Grafisk produktion och reproduktion av inspelningar
__export__.sni_19,__export__.sni_C,19,Tillverkning av stenkolsprodukter och raffinerade petroleumprodukter
__export__.sni_20,__export__.sni_C,20,Tillverkning av kemikalier och kemiska produkter
__export__.sni_21,__export__.sni_C,21,Tillverkning av farmaceutiska basprodukter och läkemedel
__export__.sni_22,__export__.sni_C,22,Tillverkning av gummi- och plastvaror
__export__.sni_23,__export__.sni_C,23,Tillverkning av andra icke-metalliska mineraliska produkter
__export__.sni_24,__export__.sni_C,24,Stål- och metallframställning
__export__.sni_25,__export__.sni_C,25,Tillverkning av metallvaror utom maskiner och apparater
__export__.sni_26,__export__.sni_C,26,"Tillverkning av datorer, elektronikvaror och optik"
__export__.sni_27,__export__.sni_C,27,Tillverkning av elapparatur
__export__.sni_28,__export__.sni_C,28,Tillverkning av övriga maskiner
__export__.sni_29,__export__.sni_C,29,"Tillverkning av motorfordon, släpfordon och påhängsvagnar"
__export__.sni_30,__export__.sni_C,30,Tillverkning av andra transportmedel
__export__.sni_31,__export__.sni_C,31,Tillverkning av möbler
__export__.sni_32,__export__.sni_C,32,Annan tillverkning
__export__.sni_33,__export__.sni_C,33,Reparation och installation av maskiner och apparater
__export__.sni_35,__export__.sni_D,35,"Försörjning av el, gas, värme och kyla"
__export__.sni_36,__export__.sni_E,36,Vattenförsörjning
__export__.sni_37,__export__.sni_E,37,Avloppsrening
__export__.sni_38,__export__.sni_E,38,Avfallshantering; återvinning
__export__.sni_39,__export__.sni_E,39,"Sanering, efterbehandling av jord och vatten samt annan verksamhet för föroreningsbekämpning"
__export__.sni_41,__export__.sni_F,41,Byggande av hus
__export__.sni_42,__export__.sni_F,42,Anläggningsarbeten
__export__.sni_43,__export__.sni_F,43,Specialiserad bygg- och anläggningsverksamhet
__export__.sni_45,__export__.sni_G,45,Handel samt reparation av motorfordon och motorcyklar
__export__.sni_46,__export__.sni_G,46,Parti- och provisionshandel utom med motorfordon
__export__.sni_47,__export__.sni_G,47,Detaljhandel utom med motorfordon och motorcyklar
__export__.sni_49,__export__.sni_H,49,Landtransport; transport i rörsystem
__export__.sni_50,__export__.sni_H,50,Sjötransport
__export__.sni_51,__export__.sni_H,51,Lufttransport
__export__.sni_52,__export__.sni_H,52,Magasinering och stödtjänster till transport
__export__.sni_53,__export__.sni_H,53,Post- och kurirverksamhet
__export__.sni_55,__export__.sni_I,55,Hotell- och logiverksamhet
__export__.sni_56,__export__.sni_I,56,"Restaurang-, catering- och barverksamhet"
__export__.sni_58,,58,Förlagsverksamhet
__export__.sni_59,,59,"Film-, video- och tv-programverksamhet, ljudinspelningar och fonogramutgivning"
__export__.sni_60,,60,Planering och sändning av program
__export__.sni_61,,61,Telekommunikation
__export__.sni_62,,62,"Dataprogrammering, datakonsultverksamhet o.d."
__export__.sni_63,,63,Informationstjänster
__export__.sni_64,,64,Finansiella tjänster utom försäkring och pensionsfondsverksamhet
__export__.sni_65,,65,"Försäkring, återförsäkring och pensionsfondsverksamhet utom obligatorisk socialförsäkring"
__export__.sni_66,,66,Stödtjänster till finansiella tjänster och försäkring
__export__.sni_68,,68,Fastighetsverksamhet
__export__.sni_69,,69,Juridisk och ekonomisk konsultverksamhet
